HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO
1068,E00000016,5,-2,2,1,-2,1,2,1,-1,2,5,2,1
2607,E00000025,5,-2,6,2,-2,2,3,1,-1,2,1,2,3
5287,E00166758,5,-2,6,2,-2,2,2,1,-1,2,2,2,1
2955,E00000026,5,-2,6,5,-2,2,3,2,-1,2,1,6,1
4820,E00166757,5,-2,3,2,-2,2,5,1,-1,2,1,4,1
695,E00000012,5,-2,3,2,-2,2,3,1,-1,2,1,2,1
67,E00000001,5,-2,3,4,-2,2,6,3,-1,2,3,4,1
4695,E00166756,5,-2,6,1,-2,1,4,1,-1,2,1,2,1
2767,E00000025,-2,-2,-1,-1,-2,0,5,3,-1,2,-1,-1,1
2711,E00000025,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
2552,E00000025,5,-2,5,2,-2,3,3,1,-1,2,2,2,3
4902,E00166757,5,-2,6,1,-2,1,3,1,-1,2,1,6,1
5301,E00166758,5,-2,6,3,-2,2,3,1,-1,2,3,2,1
2458,E00000024,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
5502,E00166759,5,-2,6,1,-2,1,3,1,-1,2,2,4,1
5103,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3463,E00000028,5,-2,6,1,-2,1,3,1,-1,1,1,8,1
1781,E00000020,5,-2,6,2,-2,2,3,1,-1,2,2,2,1
180,E00000003,5,-2,3,1,-2,1,4,3,-1,2,2,2,2
2295,E00000024,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
1587,E00000019,5,-2,2,1,-2,1,3,2,-1,2,2,4,1
582,E00000007,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
2509,E00000025,4,-2,2,1,-2,1,4,2,-1,2,1,4,1
4388,E00166755,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
4133,E00000035,5,-2,3,3,-2,2,4,3,-1,2,3,2,1
2179,E00000023,5,-2,3,3,-2,3,4,2,-1,2,1,2,2
4350,E00166755,5,-2,5,4,-2,3,4,2,-1,2,2,2,1
2334,E00000024,5,-2,6,2,-2,2,3,1,-1,2,7,4,1
3870,E00000031,5,-2,2,2,-2,2,3,2,-1,2,2,2,2
3981,E00000032,5,-2,5,1,-2,1,3,1,-1,2,1,2,1
2369,E00000024,5,-2,6,5,-2,3,4,3,-1,2,9,2,2
892,E00000013,5,-2,6,3,-2,2,3,1,-1,2,1,2,2
3,E00000001,5,-2,2,1,-2,1,4,2,-1,2,4,4,1
1682,E00000020,5,-2,2,1,-2,1,2,1,-1,2,2,2,1
5465,E00166759,5,-2,5,1,-2,1,3,1,-1,2,5,4,1
652,E00000010,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
3810,E00000030,5,-2,5,4,-2,3,4,2,-1,2,6,2,1
3966,E00000032,5,-2,5,1,-2,1,2,1,-1,2,3,3,1
4516,E00166755,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2622,E00000025,3,-2,6,1,-2,1,4,1,-1,2,1,5,1
5387,E00166759,5,-2,2,1,-2,1,2,1,-1,2,5,2,1
924,E00000014,5,-2,2,1,-2,1,1,1,-1,2,1,2,1
4060,E00000032,5,-2,5,2,-2,4,5,3,-1,1,2,3,2
1571,E00000018,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
3837,E00000030,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
4247,E00000035,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
2807,E00000025,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
3651,E00000029,5,-2,6,1,-2,1,3,2,-1,2,1,4,1
742,E00000012,5,-2,5,1,-2,1,3,1,-1,2,2,8,1
2241,E00000023,-2,-2,-1,-1,-2,0,4,3,-1,2,-1,-1,1
4932,E00166757,5,-2,6,2,-2,2,3,1,-1,2,1,4,1
2535,E00000025,5,-2,3,2,-2,2,3,1,-1,2,1,4,1
330,E00000005,5,-2,3,1,-2,1,3,1,-1,2,1,2,1
1063,E00000014,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
4107,E00000035,5,-2,3,1,-2,1,2,1,-1,2,4,2,3
3650,E00000029,5,-2,6,1,-2,1,3,1,-1,2,1,8,1
5419,E00166759,5,-2,3,1,-2,1,1,1,-1,2,2,2,2
3858,E00000030,5,-2,6,5,-2,3,5,3,-1,2,2,2,1
2437,E00000024,-2,-2,-1,-1,-2,0,6,2,-1,2,-1,-1,1
5396,E00166759,5,-2,2,1,-2,1,3,1,-1,2,3,2,1
292,E00000005,5,-2,2,1,-2,1,4,1,-1,2,2,2,2
2839,E00000026,5,-2,2,1,-2,1,4,2,-1,2,3,2,1
4992,E00166757,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
2590,E00000025,5,-2,6,1,-2,1,3,1,-1,2,3,4,2
1249,E00000016,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3307,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
4239,E00000035,5,-2,6,5,-2,4,6,4,-1,2,1,4,1
2137,E00000022,5,-2,6,1,-2,1,1,1,-1,2,9,2,3
431,E00000005,5,-2,6,3,-2,2,3,2,-1,2,2,2,2
4836,E00166757,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
2538,E00000025,5,-2,3,5,-2,2,3,2,-1,2,1,3,1
4137,E00000035,5,-2,5,2,-2,3,5,2,-1,2,4,2,2
1458,E00000018,5,-2,2,1,-2,1,3,2,-1,2,1,2,3
3872,E00000031,5,-2,2,1,-2,1,4,1,-1,2,5,2,2
1044,E00000014,5,-2,6,1,-2,1,2,1,-1,2,1,6,1
3559,E00000029,5,-2,2,2,-2,2,2,1,-1,2,3,2,1
4037,E00000032,5,-2,5,2,-2,3,4,3,-1,2,2,2,1
5553,E00166759,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
170,E00000003,5,-2,2,4,-2,2,6,4,-1,2,1,2,1
1665,E00000019,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
5128,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
5527,E00166759,5,-2,6,5,-2,2,4,2,-1,2,1,6,1
130,E00000003,5,-2,2,2,-2,2,5,3,-1,2,1,2,1
1857,E00000021,5,-2,2,2,-2,3,3,2,-1,2,1,2,2
5310,E00166758,5,-2,6,2,-2,3,3,1,-1,2,2,2,2
1808,E00000020,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1904,E00000021,5,-2,3,1,-2,1,3,2,-1,2,2,4,1
524,E00000007,5,-2,6,1,-2,1,3,1,-1,2,1,2,2
2264,E00000024,2,-2,2,5,-2,4,4,2,-1,2,1,2,1
850,E00000013,5,-2,3,1,-2,1,3,2,-1,2,1,2,1
694,E00000012,5,-2,3,2,-2,2,3,1,-1,1,2,4,1
786,E00000012,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
1217,E00000016,5,-2,6,2,-2,2,2,1,-1,2,2,4,2
419,E00000005,5,-2,6,1,-2,1,3,2,-1,2,3,4,1
2344,E00000024,4,-2,6,5,-2,2,3,2,-1,2,2,2,1
5009,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3458,E00000028,5,-2,6,1,-2,1,3,1,-1,1,2,2,1
4212,E00000035,5,-2,6,1,-2,1,4,3,-1,2,2,4,1
3930,E00000031,5,-2,5,1,-2,1,5,1,-1,2,4,2,1
110,E00000001,-2,-2,-1,-1,-2,0,5,3,-1,2,-1,-1,1
503,E00000007,5,-2,3,1,-2,1,4,2,-1,2,2,2,1
2331,E00000024,5,-2,6,1,-2,1,3,2,-1,2,1,6,1
971,E00000014,5,-2,5,1,-2,1,1,1,-1,2,7,2,1
223,E00000003,5,-2,6,5,-2,3,6,4,-1,2,4,3,1
5074,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
2706,E00000025,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
138,E00000003,5,-2,2,2,-2,4,5,3,-1,2,4,2,1
3404,E00000028,5,-2,3,1,-2,1,2,1,-1,2,1,6,1
5355,E00166758,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4771,E00166757,5,-2,2,3,-2,2,3,2,-1,2,1,2,3
3731,E00000029,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
1576,E00000018,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
1276,E00000017,5,-2,2,4,-2,4,4,2,-1,2,1,2,1
2250,E00000024,5,-2,2,1,-2,1,3,2,-1,2,1,2,1
2228,E00000023,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
2626,E00000025,5,-2,6,1,-2,1,4,1,-1,2,2,2,2
1726,E00000020,5,-2,2,2,-2,2,5,3,-1,2,2,2,2
4872,E00166757,5,-2,6,3,-2,2,2,1,-1,2,2,2,1
3897,E00000031,5,-2,5,1,-2,1,3,1,-1,2,3,6,2
1280,E00000017,5,-2,2,1,-2,1,5,3,-1,2,4,2,3
4624,E00166756,5,-2,6,1,-2,1,1,1,-1,2,1,2,1
3483,E00000028,5,-2,6,3,-2,2,3,1,-1,2,9,5,1
2954,E00000026,5,-2,6,5,-2,2,3,2,-1,2,1,4,1
3685,E00000029,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
3180,E00000027,5,-2,6,1,-2,1,2,1,-1,2,1,2,2
4761,E00166757,5,-2,2,1,-2,1,3,2,-1,2,9,2,1
2810,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1182,E00000016,5,-2,5,1,-2,1,2,1,-1,2,2,2,1
3173,E00000027,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
5182,E00166758,5,-2,2,4,-2,2,3,2,-1,2,2,2,1
5068,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,1,-1,-1,1
3323,E00000027,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
1750,E00000020,5,-2,3,2,-2,2,4,2,-1,2,2,5,1
4261,E00000035,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
511,E00000007,5,-2,6,1,-2,1,1,1,-1,2,2,2,1
944,E00000014,5,-2,2,1,-2,1,3,1,-1,2,3,7,1
2846,E00000026,5,-2,2,2,-2,2,4,2,-1,2,2,3,3
1828,E00000020,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
38,E00000001,5,-2,2,3,-2,2,5,3,-1,2,2,2,3
5520,E00166759,5,-2,6,2,-2,2,4,2,-1,2,9,2,1
4271,E00000035,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
1114,E00000016,5,-2,2,1,-2,1,4,3,-1,2,2,2,2
3091,E00000027,5,-2,2,5,-2,2,6,4,-1,2,2,2,1
1798,E00000020,5,-2,6,3,-2,2,4,2,-1,2,3,2,1
987,E00000014,5,-2,5,1,-2,1,2,1,-1,2,3,2,1
2952,E00000026,5,-2,6,3,-2,2,3,2,-1,2,1,4,1
3908,E00000031,5,-2,5,2,-2,4,3,1,-1,2,1,4,2
2866,E00000026,5,-2,3,1,-2,1,3,2,-1,2,2,4,2
1422,E00000017,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
2065,E00000022,5,-2,2,4,-2,3,5,3,-1,2,1,2,2
1977,E00000021,5,-2,6,3,-2,3,3,1,-1,2,1,3,2
2642,E00000025,5,-2,6,1,-2,1,4,2,-1,2,1,2,2
2325,E00000024,5,-2,6,1,-2,1,3,2,-1,2,1,2,1
4077,E00000032,5,-2,5,2,-2,2,6,1,-1,2,2,7,1
789,E00000012,5,-2,6,2,-2,2,3,1,-1,2,1,4,2
3955,E00000032,5,-2,5,1,-2,1,1,1,-1,2,8,4,1
4424,E00166755,5,-2,6,1,-2,1,4,3,-1,2,3,5,1
4530,E00166755,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
1926,E00000021,5,-2,3,3,-2,4,4,2,-1,2,1,2,1
3856,E00000030,5,-2,6,3,-2,3,5,3,-1,2,1,2,1
3849,E00000030,5,-2,6,1,-2,1,4,2,-1,2,1,4,1
2089,E00000022,5,-2,3,4,-2,4,4,2,-1,2,3,3,2
2782,E00000025,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
4700,E00166756,5,-2,6,1,-2,1,4,2,-1,2,2,8,1
622,E00000010,5,-2,5,1,-2,1,2,1,-1,2,8,8,1
1314,E00000017,5,-2,2,2,-2,3,6,4,-1,2,1,4,2
3754,E00000030,5,-2,5,1,-2,1,1,1,-1,2,3,2,1
2094,E00000022,5,-2,5,1,-2,1,1,1,-1,2,3,2,1
3937,E00000031,5,-2,6,1,-2,1,3,1,-1,2,2,7,1
1891,E00000021,5,-2,3,2,-2,2,2,1,-1,2,1,3,1
1160,E00000016,5,-2,3,2,-2,2,3,2,-1,2,1,2,3
782,E00000012,5,-2,6,1,-2,1,2,1,-1,2,1,6,1
1329,E00000017,5,-2,3,2,-2,4,4,2,-1,2,4,2,1
817,E00000013,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
2822,E00000025,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
1519,E00000018,5,-2,3,2,-2,4,5,3,-1,2,1,2,2
2441,E00000024,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
1557,E00000018,5,-2,6,1,-2,1,6,4,-1,2,4,2,1
1440,E00000018,5,-2,2,2,-2,2,2,1,-1,2,1,2,1
3729,E00000029,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
2599,E00000025,5,-2,6,1,-2,1,3,2,-1,2,1,2,3
1077,E00000016,5,-2,2,2,-2,2,2,1,-1,2,2,2,1
2329,E00000024,5,-2,6,1,-2,1,3,2,-1,2,1,2,3
4048,E00000032,5,-2,5,1,-2,1,5,1,-1,2,5,4,1
1089,E00000016,5,-2,2,1,-2,1,3,1,-1,2,4,2,2
1492,E00000018,5,-2,2,2,-2,2,6,4,-1,2,1,2,2
2671,E00000025,5,-2,6,3,-2,2,4,2,-1,2,1,4,1
5278,E00166758,5,-2,5,1,-2,1,3,1,-1,2,1,6,1
1777,E00000020,5,-2,6,3,-2,2,2,1,-1,2,2,2,1
5314,E00166758,5,-2,6,2,-2,3,3,2,-1,2,1,4,1
5177,E00166758,5,-2,2,2,-2,2,3,2,-1,2,1,2,2
3472,E00000028,5,-2,6,1,-2,1,3,1,-1,2,9,4,2
5200,E00166758,5,-2,2,1,-2,1,4,3,-1,2,2,2,2
4332,E00166755,5,-2,2,1,-2,1,4,2,-1,2,1,4,2
3905,E00000031,5,-2,5,4,-2,2,3,2,-1,2,3,2,1
4255,E00000035,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
165,E00000003,5,-2,2,2,-2,2,6,4,-1,2,1,2,2
1701,E00000020,5,-2,2,2,-2,2,3,1,-1,2,3,2,1
5134,E00166758,5,-2,2,2,-2,2,2,1,-1,2,2,2,1
5282,E00166758,5,-2,6,1,-2,1,1,1,-1,2,1,2,1
1093,E00000016,5,-2,2,1,-2,1,3,2,-1,2,1,2,1
175,E00000003,5,-2,2,5,-2,3,6,4,-1,2,2,4,1
1654,E00000019,5,-2,6,2,-2,2,4,2,-1,2,2,2,1
1985,E00000021,5,-2,6,1,-2,1,4,2,-1,2,1,4,1
4405,E00166755,5,-2,6,5,-2,2,3,1,-1,2,6,4,1
4505,E00166755,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4221,E00000035,5,-2,6,3,-2,2,4,2,-1,1,2,2,2
2536,E00000025,5,-2,3,2,-2,2,3,2,-1,2,2,2,2
848,E00000013,5,-2,3,1,-2,1,3,1,-1,2,2,2,2
2288,E00000024,5,-2,5,1,-2,1,4,2,-1,2,6,2,1
3332,E00000027,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
1466,E00000018,5,-2,2,2,-2,2,3,2,-1,2,1,2,2
301,E00000005,5,-2,2,2,-2,2,4,1,-1,2,1,4,1
219,E00000003,5,-2,6,2,-2,2,6,4,-1,2,1,2,1
1896,E00000021,5,-2,3,1,-2,1,3,1,-1,2,1,2,1
3095,E00000027,5,-2,3,1,-2,1,1,1,-1,2,1,2,1
276,E00000005,5,-2,2,1,-2,1,3,2,-1,2,2,2,2
109,E00000001,-2,-2,-1,-1,-2,0,5,3,-1,2,-1,-1,1
528,E00000007,5,-2,6,1,-2,1,3,1,-1,2,2,4,1
3154,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,4,1
4523,E00166755,-2,-2,-1,-1,-2,0,6,3,-1,2,-1,-1,1
4539,E00166755,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
3223,E00000027,5,-2,6,5,-2,2,2,1,-1,2,1,4,1
2913,E00000026,5,-2,6,1,-2,1,2,1,-1,2,1,4,3
391,E00000005,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
5274,E00166758,5,-2,5,1,-2,1,2,1,-1,2,4,8,1
3508,E00000028,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
69,E00000001,5,-2,3,2,-2,4,6,3,-1,2,1,2,2
3433,E00000028,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
4584,E00166756,5,-2,2,1,-2,1,4,2,-1,2,2,2,2
2643,E00000025,5,-2,6,1,-2,1,4,2,-1,2,1,2,2
1389,E00000017,5,-2,6,1,-2,1,4,2,-1,2,1,4,2
4244,E00000035,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
579,E00000007,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
2133,E00000022,5,-2,5,4,-2,3,5,3,-1,2,8,2,1
4245,E00000035,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
224,E00000003,5,-2,6,5,-2,3,6,4,-1,2,1,8,2
5174,E00166758,5,-2,2,2,-2,2,3,1,-1,2,8,6,2
5139,E00166758,5,-2,2,1,-2,1,3,1,-1,2,1,2,1
1294,E00000017,5,-2,2,1,-2,1,6,3,-1,2,1,2,2
